Category,Price (INR)_mean,Price (INR)_median,Price (INR)_std,Price (INR)_min,Price (INR)_max,Rating_mean,Rating_median,Rating_std,Rating_min,Rating_max,Rating Count_mean,Rating Count_median,Rating Count_std,Rating Count_min,Rating Count_max
Coffee Sundaes,177.0,177.0,0.0,177.0,177.0,4.8,4.8,0.1,4.7,4.9,55.0,49.0,12.17,47.0,69.0
Coffee Time,65.0,65.0,35.36,40.0,90.0,3.65,3.65,0.64,3.2,4.1,6.0,6.0,2.83,4.0,8.0
"Coffee, Tea  & Milo (Hot & Cold)",294.0,290.0,5.48,290.0,300.0,4.5,4.6,0.24,4.2,4.8,32.6,30.0,24.9,6.0,60.0
Cold,140.0,140.0,,140.0,140.0,5.0,5.0,,5.0,5.0,4.0,4.0,,4.0,4.0
Cold Beverage ,210.11,199.0,22.05,199.0,249.0,4.07,4.1,0.34,3.5,4.4,33.22,23.0,18.78,10.0,68.0
Cold Beverages,151.58,139.0,66.39,35.0,286.0,4.3,4.3,0.62,2.0,5.0,14.84,5.5,27.35,1.0,150.0
Cold Bevrages,78.0,90.0,28.85,40.0,105.0,4.08,4.4,0.82,2.8,4.9,4.6,3.0,4.62,1.0,12.0
Cold Blends,292.16,269.0,56.48,199.0,409.0,3.86,4.2,0.85,1.9,4.9,12.0,7.0,14.85,1.0,62.0
Cold Brew,231.5,231.5,9.19,225.0,238.0,4.85,4.85,0.21,4.7,5.0,8.0,8.0,4.24,5.0,11.0
Cold Coffee,157.74,169.0,48.64,60.0,225.0,4.03,4.2,0.76,2.0,4.8,26.09,6.0,37.39,1.0,120.0
Cold Coffee  Milkshake,73.33,70.0,5.77,70.0,80.0,4.2,4.2,0.8,3.4,5.0,7.0,7.0,0.0,7.0,7.0
Cold Coffee Delights,322.14,339.0,30.43,289.0,369.0,4.38,4.6,0.65,2.6,5.0,35.73,9.0,66.2,1.0,298.0
Cold Coffee/ Smoothies/ Lemonades,215.0,220.0,19.15,190.0,230.0,4.22,4.4,0.82,3.1,5.0,6.0,4.0,6.16,1.0,15.0
Cold Coffees,199.0,199.0,0.0,199.0,199.0,4.1,4.3,0.62,2.9,4.7,6.22,5.0,7.31,2.0,25.0
Cold Delights,136.0,142.0,23.49,109.0,159.0,4.43,4.5,0.34,3.8,4.8,80.17,53.0,86.86,5.0,190.0
Cold Drink,45.0,45.0,17.32,30.0,60.0,4.4,4.4,0.12,4.3,4.5,29.25,31.5,19.72,6.0,48.0
Cold Drinks,59.67,30.0,47.3,24.0,149.0,4.21,4.3,0.42,3.4,4.7,85.33,14.0,121.19,4.0,333.0
Cold Drinks ,117.5,130.0,32.02,70.0,140.0,4.32,4.45,0.68,3.4,5.0,5.5,5.0,2.65,3.0,9.0
Cold Preshed Juice,180.0,180.0,,180.0,180.0,3.8,3.8,,3.8,3.8,3.0,3.0,,3.0,3.0
Cold Refreshing Beverages,255.0,255.0,35.36,230.0,280.0,4.75,4.75,0.21,4.6,4.9,3.5,3.5,0.71,3.0,4.0
Cold Room,93.5,77.5,36.18,59.0,139.0,4.45,4.5,0.26,4.1,4.8,396.88,397.5,280.47,56.0,867.0
Cold beberage,70.0,70.0,,70.0,70.0,4.7,4.7,,4.7,4.7,3.0,3.0,,3.0,3.0
Cold beverages,100.0,100.0,0.0,100.0,100.0,4.3,4.3,0.14,4.2,4.4,5.0,5.0,2.83,3.0,7.0
"Cold, Soft & Package Beverage",216.67,230.0,80.83,130.0,290.0,4.73,4.7,0.15,4.6,4.9,29.0,32.0,10.82,17.0,38.0
Combo,280.22,279.0,113.08,79.0,730.0,4.18,4.3,0.61,2.0,5.0,37.32,8.0,72.63,1.0,573.0
Combo ,322.33,299.0,68.07,269.0,399.0,3.77,3.9,0.23,3.5,3.9,105.33,82.0,113.81,5.0,229.0
Combo & Meals,192.5,194.0,33.07,159.0,249.0,3.98,4.0,0.96,2.3,5.0,16.67,8.5,18.4,3.0,51.0
Combo Ala Carte,342.33,339.0,5.77,339.0,349.0,4.5,4.5,0.3,4.2,4.8,184.67,176.0,82.34,107.0,271.0
Combo Deals @10% OFF,652.0,652.0,,652.0,652.0,5.0,5.0,,5.0,5.0,6.0,6.0,,6.0,6.0
Combo Foods,413.75,415.0,30.38,385.0,440.0,4.7,4.75,0.36,4.3,5.0,2.5,2.5,1.29,1.0,4.0
Combo Item,210.0,200.0,20.0,180.0,240.0,4.51,4.5,0.18,4.3,4.8,27.22,8.0,54.97,4.0,173.0
Combo Meal,676.75,677.0,0.5,676.0,677.0,4.35,4.35,0.24,4.1,4.6,1.0,1.0,0.0,1.0,1.0
Combo Meal 2 Persons,325.0,325.0,0.0,325.0,325.0,4.3,4.3,0.28,4.1,4.5,5.5,5.5,3.54,3.0,8.0
Combo Meal 3 Persons,495.0,495.0,,495.0,495.0,4.5,4.5,,4.5,4.5,5.0,5.0,,5.0,5.0
Combo Meals,274.09,259.0,93.78,139.0,543.0,4.29,4.3,0.54,2.6,5.0,39.37,10.0,96.55,1.0,452.0
Combo Meals & Thali,225.0,225.0,,225.0,225.0,3.7,3.7,,3.7,3.7,11.0,11.0,,11.0,11.0
Combo Pack,222.5,222.5,53.03,185.0,260.0,3.7,3.7,0.85,3.1,4.3,6.5,6.5,2.12,5.0,8.0
Combo Specails Malabar Plaza,224.5,229.5,24.77,190.0,249.0,3.8,3.8,0.5,3.2,4.4,28.25,16.5,34.9,1.0,79.0
Combo Value Meal,230.0,230.0,5.0,225.0,235.0,4.23,4.3,0.4,3.8,4.6,33.33,9.0,43.02,8.0,83.0
Combo Veg & Non Veg,241.67,225.0,98.32,125.0,400.0,3.68,3.9,0.83,2.6,4.8,4.33,3.5,2.34,3.0,9.0
Combo and Meals,183.44,189.0,41.29,110.0,260.0,4.64,4.75,0.3,4.1,5.0,23.0,9.5,28.41,3.0,110.0
"Combo""s",349.0,339.0,46.37,279.0,429.0,4.41,4.5,0.45,2.9,5.0,20.62,7.0,40.61,3.0,188.0
Combo's ( Save Extra Upto 30% Off),421.75,414.5,43.55,379.0,479.0,4.05,4.0,0.37,3.7,4.5,30.75,23.0,34.07,3.0,74.0
Combos,261.25,242.5,176.75,50.0,2009.0,4.24,4.3,0.57,2.0,5.0,69.18,15.0,154.52,1.0,998.0
Combos ,224.25,224.0,48.96,170.0,279.0,4.47,4.45,0.43,4.0,5.0,14.75,11.5,13.87,3.0,33.0
Combos & Assortments - 15% Flat Off,227.57,169.0,105.11,139.0,379.0,4.7,4.7,0.27,3.5,5.0,15.83,4.0,44.38,1.0,252.0
Combos & Meals,168.25,148.0,37.87,148.0,239.0,4.39,4.5,0.26,4.0,4.6,69.12,25.5,84.25,4.0,230.0
Combos Items,195.0,190.0,57.45,130.0,270.0,4.08,4.1,0.38,3.6,4.5,15.0,13.5,8.04,7.0,26.0
Combos Loved By Ranchi,605.67,619.0,70.95,529.0,669.0,4.87,5.0,0.23,4.6,5.0,10.67,14.0,5.77,4.0,14.0
Combos N Meals,229.0,229.0,,229.0,229.0,4.3,4.3,,4.3,4.3,91.0,91.0,,91.0,91.0
Combos With Drink,389.0,384.0,15.49,379.0,419.0,4.25,4.2,0.56,3.6,5.0,64.83,41.5,58.9,10.0,152.0
Combos [Any Time],272.33,279.0,10.33,259.0,279.0,4.37,4.4,0.24,4.0,4.6,171.17,65.5,225.82,1.0,560.0
Combos [Meal For 1],202.74,202.0,24.12,144.5,250.0,3.92,4.0,0.59,2.9,5.0,9.8,7.0,8.58,3.0,44.0
Combos [O],424.0,424.0,35.36,399.0,449.0,3.7,3.7,1.27,2.8,4.6,12.5,12.5,16.26,1.0,24.0
Combos and Meals,315.33,290.0,46.54,290.0,425.0,4.49,4.5,0.18,4.1,4.7,110.67,49.0,114.1,16.0,380.0
"Combos, Thali And Platters (1)",328.5,290.0,79.13,245.0,490.0,4.34,4.5,0.44,3.3,4.8,212.7,238.0,147.13,20.0,399.0
Comfort Meals,199.0,199.0,0.0,199.0,199.0,4.32,4.5,0.48,3.2,5.0,25.57,16.0,28.87,2.0,107.0
Comfort Thalis,199.0,199.0,0.0,199.0,199.0,4.26,4.2,0.53,3.3,4.9,7.4,7.0,4.79,1.0,15.0
Complete thali,420.0,430.0,17.32,400.0,430.0,4.47,4.3,0.47,4.1,5.0,5.67,3.0,4.62,3.0,11.0
Condiments,20.05,22.0,21.75,0.95,109.0,4.28,4.3,0.53,2.2,5.0,41.14,18.0,55.82,1.0,253.0
Cones,106.0,102.0,6.93,102.0,114.0,4.33,4.3,0.15,4.2,4.5,23.0,23.0,11.0,12.0,34.0
Confectionery Cake,840.0,850.0,22.36,800.0,850.0,3.98,4.1,0.61,3.3,4.6,6.0,5.0,2.65,3.0,10.0
Continental,325.11,280.0,194.64,40.0,569.0,4.3,4.4,0.61,2.4,5.0,45.84,6.0,131.03,1.0,965.0
Continental ,314.0,314.0,58.02,259.0,369.0,4.15,4.25,0.33,3.7,4.4,299.5,206.5,328.95,44.0,741.0
Continental Appetisers & Small Plates,199.0,199.0,,199.0,199.0,4.3,4.3,,4.3,4.3,5.0,5.0,,5.0,5.0
Continental Appetizer,247.67,229.0,32.33,229.0,285.0,4.47,4.7,0.4,4.0,4.7,85.0,126.0,71.01,3.0,126.0
Continental Bowls,301.61,299.0,9.99,299.0,339.0,4.05,4.0,0.44,3.4,5.0,3.02,2.0,2.84,1.0,13.0
Continental Favorites,564.0,540.0,76.68,500.0,680.0,4.5,4.4,0.32,4.2,5.0,49.8,5.0,93.73,3.0,217.0
Continental Kitchen,234.42,177.0,124.1,126.5,390.5,4.05,3.95,0.74,3.1,5.0,3.0,3.5,1.67,1.0,5.0
Continental Main Course,437.8,440.0,35.98,407.0,495.0,4.62,4.6,0.3,4.2,5.0,7.0,7.0,4.06,3.0,12.0
Continental Special,448.18,450.0,81.26,270.0,680.0,4.32,4.5,0.71,2.2,5.0,12.41,5.0,18.3,1.0,86.0
Continental Special Menu,243.12,219.0,96.37,122.0,420.0,4.56,4.6,0.4,4.0,5.0,9.38,7.0,8.14,3.0,28.0
Continental Starters,353.75,352.5,20.56,330.0,380.0,4.35,4.5,0.53,3.6,4.8,17.0,16.0,9.59,8.0,28.0
Cookies,244.7,165.0,315.41,40.0,1700.0,4.6,4.7,0.47,2.6,5.0,19.76,6.0,30.7,1.0,139.0
Cookies & More,160.0,170.0,31.79,109.0,195.0,4.58,4.5,0.31,4.3,5.0,6.2,7.0,2.77,2.0,9.0
Cookies & Namkeen,95.45,107.14,32.25,31.25,192.0,4.44,4.5,0.48,3.0,5.0,19.29,10.5,21.71,1.0,116.0
Cookies And Biscuits,163.84,144.07,28.4,144.07,203.39,4.73,4.8,0.27,4.1,5.0,7.0,5.0,5.53,1.0,21.0
"Cookies, Muffins & Tea Cakes",126.32,132.6,41.27,55.0,215.0,4.58,4.6,0.27,3.9,5.0,81.64,52.0,105.31,2.0,475.0
Cool Desserts,175.0,175.0,148.49,70.0,280.0,4.95,4.95,0.07,4.9,5.0,6.0,6.0,7.07,1.0,11.0
Cool Smoothie,117.0,124.5,41.5,60.0,159.0,4.45,4.45,0.35,4.1,4.8,8.0,8.5,4.69,3.0,12.0
Coolers,112.1,109.0,14.89,70.0,150.0,4.24,4.4,0.68,2.3,4.9,37.6,5.5,67.45,1.0,277.0
Coolers & Iced Tea,330.0,330.0,14.14,320.0,340.0,4.65,4.65,0.21,4.5,4.8,6.5,6.5,4.95,3.0,10.0
Coriander Dosa,218.33,220.0,32.53,185.0,250.0,4.43,4.4,0.45,4.0,4.9,24.67,11.0,26.31,8.0,55.0
Cornetto,76.33,72.04,20.13,50.85,120.0,4.68,4.9,0.58,2.2,5.0,8.88,5.5,7.97,1.0,27.0
Cornetto Cone,61.36,67.8,18.97,40.0,76.27,4.27,4.3,0.06,4.2,4.3,9.67,10.0,8.5,1.0,18.0
Cornetto.,75.06,72.04,19.62,50.85,101.69,4.51,4.65,0.42,3.4,4.9,9.79,9.5,7.16,1.0,20.0
Couple Combos,155.0,155.0,,155.0,155.0,4.7,4.7,,4.7,4.7,3.0,3.0,,3.0,3.0
Crackling Combos,574.5,574.5,34.65,550.0,599.0,3.55,3.55,2.05,2.1,5.0,6.0,6.0,2.83,4.0,8.0
Crafted Desserts,291.39,237.29,104.05,186.44,466.1,4.15,4.3,0.68,2.3,5.0,33.77,15.0,40.01,1.0,147.0
Crazy Deals,499.0,499.0,0.0,499.0,499.0,4.13,4.2,0.51,2.9,5.0,5.59,5.0,3.23,1.0,18.0
Crazy Meal Combo,153.39,145.0,34.03,99.0,220.0,4.05,4.0,0.32,3.4,4.8,18.26,9.0,32.73,1.0,182.0
Cream Cruz,365.0,360.0,8.66,360.0,375.0,4.63,4.8,0.47,4.1,5.0,6.33,4.0,6.81,1.0,14.0
Creamy Tandoori Momos,112.5,112.5,24.75,95.0,130.0,4.6,4.6,0.14,4.5,4.7,220.5,220.5,139.3,122.0,319.0
Creator Collaborations,212.0,212.0,,212.0,212.0,4.6,4.6,,4.6,4.6,4.0,4.0,,4.0,4.0
Cris Combo,230.0,230.0,,230.0,230.0,4.7,4.7,,4.7,4.7,9.0,9.0,,9.0,9.0
Crispy Chicken,231.64,195.0,91.01,145.0,449.0,4.04,4.2,0.57,2.1,4.7,72.95,25.0,103.21,3.0,368.0
Crispy Chicken & Wings,248.0,248.0,,248.0,248.0,4.3,4.3,,4.3,4.3,4.0,4.0,,4.0,4.0
Crispy Fried Chicken,189.21,199.0,66.73,72.0,299.0,4.19,4.2,0.53,2.8,5.0,7.89,3.0,8.97,1.0,27.0
Crispy Fried Items,192.8,192.8,,192.8,192.8,4.5,4.5,,4.5,4.5,10.0,10.0,,10.0,10.0
Crispy Potato,191.5,199.0,30.96,149.0,219.0,4.28,4.35,0.26,3.9,4.5,245.5,169.5,224.69,76.0,567.0
Croissants,128.32,105.0,66.25,90.0,325.0,4.49,4.6,0.3,3.8,5.0,35.0,18.0,48.73,2.0,194.0
Croissants & Danishes,100.07,105.0,7.1,90.0,105.0,4.58,4.6,0.21,3.8,5.0,87.42,55.0,83.97,2.0,332.0
Croissants & More,250.14,265.0,36.62,160.0,335.0,4.53,4.7,0.47,1.9,5.0,25.9,13.0,41.07,1.0,250.0
Croissants & Viennoiserie,314.69,317.0,52.42,170.0,377.0,4.56,4.65,0.41,3.6,5.0,67.69,53.5,64.19,4.0,196.0
Croissants Reloaded,214.0,229.0,23.09,189.0,239.0,4.0,4.1,0.87,2.5,5.0,10.5,8.0,10.91,1.0,45.0
"Croissants, Cookies & Quick Bites",149.5,149.5,71.42,99.0,200.0,3.75,3.75,1.48,2.7,4.8,2.0,2.0,1.41,1.0,3.0
Crossiants  & Rolls,36.86,35.59,5.93,31.36,47.32,4.33,4.3,0.49,3.2,4.8,2.9,2.5,1.52,1.0,5.0
Crostini,380.0,380.0,,380.0,380.0,4.7,4.7,,4.7,4.7,27.0,27.0,,27.0,27.0
Crunchy & Loaded Nachos,206.5,199.0,40.62,169.0,249.0,4.4,4.5,0.5,3.6,5.0,8.62,6.5,7.8,1.0,27.0
Crunchy Burger And Crispy Sandwiches,300.45,279.0,38.28,249.0,379.0,4.05,4.25,0.81,1.8,5.0,17.47,8.0,26.65,1.0,190.0
Crunchy Fried Chicken,156.25,142.5,36.37,130.0,210.0,4.7,4.75,0.29,4.3,5.0,11.5,9.5,10.34,3.0,24.0
Crunchy Value Sides,39.0,39.0,11.55,29.0,49.0,4.38,4.4,0.38,3.9,4.8,166.5,166.0,158.46,22.0,312.0
Crushers,65.0,65.0,,65.0,65.0,3.7,3.7,,3.7,3.7,7.0,7.0,,7.0,7.0
Cup Cakes,61.5,61.5,40.31,33.0,90.0,4.4,4.4,0.14,4.3,4.5,15.5,15.5,9.19,9.0,22.0
Cupcakes,208.16,105.0,331.77,55.84,2040.0,4.44,4.5,0.45,1.9,5.0,9.03,6.0,10.51,1.0,54.0
Cupcakes & Cream Rolls,71.75,79.0,14.5,50.0,79.0,4.53,4.55,0.35,4.1,4.9,8.75,3.5,11.53,2.0,26.0
Cupcakes & Muffins,110.0,110.0,0.0,110.0,110.0,4.65,4.65,0.35,4.4,4.9,5.0,5.0,4.24,2.0,8.0
Cupcakes By CakeZone,83.63,79.0,9.77,79.0,109.0,4.43,4.6,0.48,3.2,5.0,5.12,3.0,5.41,1.0,27.0
Cups,76.52,59.32,30.94,50.85,135.59,4.54,4.7,0.5,3.0,5.0,13.53,9.0,14.92,1.0,59.0
Cups (100 ml),108.0,108.0,6.57,102.0,114.0,4.13,4.1,0.34,3.6,4.5,23.83,23.5,9.5,13.0,37.0
Curated Meal Combos,384.0,399.0,33.77,305.0,399.0,4.32,4.6,0.5,3.6,5.0,2.18,2.0,1.47,1.0,5.0
Curd,121.32,125.0,24.24,80.0,144.51,4.53,4.65,0.36,4.0,4.9,6.0,6.0,3.1,1.0,10.0
Curd & Raita,69.67,69.0,10.02,60.0,80.0,4.67,4.7,0.25,4.4,4.9,20.33,12.0,21.73,4.0,45.0
Curd / Yougurts,60.0,60.0,14.14,50.0,70.0,4.7,4.7,0.0,4.7,4.7,7.0,7.0,5.66,3.0,11.0
Curd And Raita,173.0,169.0,56.13,59.0,240.0,4.0,4.25,0.74,2.6,4.9,165.12,55.5,200.78,5.0,484.0
Curd Beverages,69.0,69.0,,69.0,69.0,5.0,5.0,,5.0,5.0,5.0,5.0,,5.0,5.0
Curd Special,43.0,43.0,,43.0,43.0,4.2,4.2,,4.2,4.2,18.0,18.0,,18.0,18.0
Curries,271.2,260.0,15.34,260.0,288.0,4.32,4.2,0.54,3.6,4.9,5.2,5.0,2.28,3.0,8.0
Curries & Dry Main Course,119.77,110.0,43.63,60.0,199.0,4.57,4.5,0.32,4.0,5.0,4.92,5.0,1.55,3.0,7.0
Curries & Gravies,190.92,189.0,38.05,139.0,239.0,4.53,4.65,0.45,3.0,5.0,34.23,25.0,40.27,1.0,184.0
Curries & Sides,165.0,165.0,21.21,150.0,180.0,4.7,4.7,0.42,4.4,5.0,23.0,23.0,26.87,4.0,42.0
Curries & Subzi,205.33,200.0,43.83,154.0,277.0,3.97,4.05,0.49,2.6,4.5,4.28,3.0,3.43,1.0,14.0
Curries & dry main course,70.0,70.0,20.0,50.0,90.0,3.53,3.8,0.74,2.7,4.1,3.33,3.0,2.52,1.0,6.0
Curries And Breads,320.43,399.0,160.52,49.0,499.0,3.97,4.1,0.78,1.9,5.0,5.89,3.0,5.1,1.0,22.0
Curries And Dal,405.0,419.0,70.57,339.0,509.0,3.78,3.7,1.07,2.5,5.0,29.0,31.0,13.71,6.0,42.0
Curry,261.74,212.0,198.48,54.0,915.0,4.45,4.5,0.39,3.6,5.0,19.8,9.0,23.28,3.0,88.0
Curry Non Veg,255.67,253.5,26.85,221.0,286.0,4.58,4.7,0.31,4.1,4.9,4.33,4.5,1.21,3.0,6.0
Cutlet,160.0,160.0,,160.0,160.0,4.8,4.8,,4.8,4.8,29.0,29.0,,29.0,29.0
Cutlets,143.33,145.0,2.89,140.0,145.0,3.03,3.3,0.74,2.2,3.6,28.67,17.0,29.3,7.0,62.0
DAHI KE SHAUKEEN,116.67,120.0,5.77,110.0,120.0,4.53,4.5,0.45,4.1,5.0,23.33,11.0,22.23,10.0,49.0
DEJA-VU SEA FOOD,953.33,825.0,521.42,495.0,2035.0,4.5,4.85,0.57,3.3,5.0,20.08,16.0,16.54,5.0,67.0
DESI CHINESE STARTERS,159.0,159.0,,159.0,159.0,2.4,2.4,,2.4,2.4,7.0,7.0,,7.0,7.0
DESSERT,145.0,150.0,10.0,130.0,150.0,4.5,4.5,0.08,4.4,4.6,5.25,3.5,4.72,2.0,12.0
DESSERTS,158.45,139.0,75.39,103.81,355.0,4.42,4.5,0.49,2.8,5.0,56.08,13.0,107.61,1.0,754.0
DESSERTS & BEVERAGES,98.65,99.0,34.42,57.1,199.0,4.26,4.3,0.57,1.5,5.0,23.3,7.0,38.73,1.0,282.0
DOSA & IDIYAPPAM,165.0,155.0,57.88,110.0,230.0,4.02,4.1,0.28,3.6,4.3,11.6,7.0,9.91,4.0,27.0
DOTD,250.13,255.0,63.18,105.0,330.0,4.26,4.3,0.49,2.3,5.0,8.77,4.0,15.96,1.0,186.0
Daal,147.0,120.0,62.14,90.0,329.0,4.52,4.6,0.36,3.6,4.9,66.5,49.0,68.95,3.0,289.0
Daal - Humarey Andaaz Mein,361.67,365.0,5.77,355.0,365.0,4.3,4.1,0.35,4.1,4.7,13.0,3.0,17.32,3.0,33.0
Dabangg Kolkata  Roll,107.5,110.0,22.17,80.0,130.0,4.47,4.45,0.1,4.4,4.6,28.75,15.5,30.35,10.0,74.0
Dabeli,76.0,60.0,43.93,40.0,150.0,4.46,4.4,0.34,4.1,5.0,136.2,15.0,256.1,1.0,592.0
Dahi,266.67,190.0,196.55,120.0,490.0,4.63,4.6,0.35,4.3,5.0,46.33,12.0,66.52,4.0,123.0
Dahi / Paneer,330.0,215.0,373.01,40.0,850.0,4.28,4.25,0.61,3.7,4.9,120.5,17.0,216.59,3.0,445.0
Dahi Chaat,106.58,70.0,69.34,30.0,220.0,4.38,4.4,0.56,2.8,4.9,24.42,14.0,24.52,1.0,76.0
Dahi Mehfil,80.0,80.0,,80.0,80.0,4.9,4.9,,4.9,4.9,7.0,7.0,,7.0,7.0
"Dahi, Raita, Salad & Papad",119.0,125.0,33.62,75.0,155.0,4.52,4.8,0.69,3.3,4.9,30.2,35.0,8.61,16.0,36.0
Dairy,161.06,150.0,85.45,50.0,300.0,4.65,4.7,0.25,4.3,5.0,82.12,53.5,98.31,1.0,344.0
Dairy Product,65.0,54.0,49.14,24.0,128.0,4.55,4.55,0.13,4.4,4.7,129.25,79.5,164.19,2.0,356.0
Dairy Products,110.45,84.0,84.52,25.0,357.14,4.83,4.8,0.09,4.7,5.0,162.16,108.0,186.35,3.0,677.0
Dairy-Free Sorbets,90.14,93.0,4.69,83.0,93.0,4.44,4.45,0.25,4.0,4.8,65.86,70.5,36.58,9.0,115.0
Dakshin Territory,65.0,65.0,0.0,65.0,65.0,4.9,4.9,0.14,4.8,5.0,13.0,13.0,11.31,5.0,21.0
Dal,178.16,170.0,67.41,54.0,435.0,4.28,4.4,0.64,2.0,5.0,79.51,28.0,135.32,1.0,897.0
Dal & Lentils,255.0,255.0,,255.0,255.0,4.9,4.9,,4.9,4.9,13.0,13.0,,13.0,13.0
Dal & Pulses,355.0,355.0,,355.0,355.0,4.5,4.5,,4.5,4.5,1.0,1.0,,1.0,1.0
Dal & Rice,272.33,284.0,40.82,219.0,319.0,4.0,4.15,0.7,2.8,4.8,8.17,6.0,6.01,3.0,19.0
Dal & Sabzi,190.9,189.0,25.42,159.0,269.0,4.12,4.3,0.67,1.5,4.8,110.29,100.0,95.44,1.0,329.0
Dal Aap Ki Pasand,255.0,255.0,,255.0,255.0,4.1,4.1,,4.1,4.1,5.0,5.0,,5.0,5.0
Dal And Khichdi,290.0,290.0,60.0,230.0,350.0,4.23,4.1,0.61,3.7,4.9,52.67,17.0,73.32,4.0,137.0
Dal And Paneer,211.5,219.0,73.05,89.0,279.0,4.03,4.0,0.6,3.1,4.9,88.75,48.5,79.94,13.0,223.0
Dal Aur Chawal,278.0,278.0,54.58,226.0,330.0,4.28,4.4,0.48,3.6,4.7,16.25,11.0,17.73,2.0,41.0
Dal Bafla Thali,183.2,203.5,63.59,120.0,269.0,4.4,4.4,0.4,4.0,4.8,58.2,39.0,61.65,21.0,167.0
Dal Balti,238.8,241.5,27.11,209.85,280.65,4.38,4.3,0.47,3.9,5.0,5.2,3.0,3.03,3.0,9.0
Dal Bati Regular,85.0,85.0,77.78,30.0,140.0,4.4,4.4,0.42,4.1,4.7,12.5,12.5,13.44,3.0,22.0
Dal Chawal,89.0,89.0,,89.0,89.0,4.8,4.8,,4.8,4.8,3.0,3.0,,3.0,3.0
Dal Items,95.0,75.0,27.39,75.0,125.0,4.32,4.3,0.33,3.8,4.7,43.2,42.0,30.7,13.0,88.0
Dal Ka Bahar,170.0,175.0,39.16,120.0,210.0,4.7,4.7,0.08,4.6,4.8,11.75,12.5,7.54,3.0,19.0
Dal Main Course,146.33,155.0,15.01,129.0,155.0,4.57,4.6,0.25,4.3,4.8,129.0,116.0,104.11,32.0,239.0
Dal Papad,30.0,30.0,,30.0,30.0,4.4,4.4,,4.4,4.4,8.0,8.0,,8.0,8.0
Dal Preparation,344.67,330.0,45.8,308.0,396.0,4.43,4.7,0.55,3.8,4.8,22.67,12.0,18.48,12.0,44.0
Dal Se,219.0,219.0,0.0,219.0,219.0,3.97,4.0,0.66,2.8,4.8,35.0,6.5,61.56,3.0,159.0
Dal Tarka Maar Ke,174.5,174.5,0.71,174.0,175.0,4.25,4.25,0.07,4.2,4.3,4.5,4.5,0.71,4.0,5.0
Dal [o],136.67,140.0,15.28,120.0,150.0,3.67,3.7,0.35,3.3,4.0,29.0,30.0,14.53,14.0,43.0
Dal's,171.25,170.0,43.66,120.0,225.0,4.08,4.05,0.17,3.9,4.3,49.0,22.0,68.37,3.0,149.0
Dastan-e-Kebab (Starters),170.39,144.0,79.5,119.0,489.0,4.2,4.3,0.57,1.7,5.0,11.07,5.0,12.91,1.0,56.0
Day Special Dosa,181.67,175.0,20.82,165.0,205.0,4.6,4.6,0.1,4.5,4.7,149.33,175.0,57.01,84.0,189.0
Deal Of The Day,275.13,268.31,30.32,234.0,360.0,4.28,4.3,0.45,2.1,5.0,28.43,8.5,49.41,1.0,281.0
Deal of the Day,271.01,270.0,42.81,209.0,352.38,4.49,4.6,0.48,3.1,5.0,3.63,3.0,2.74,1.0,10.0
Deals Starting @89,149.0,149.0,,149.0,149.0,5.0,5.0,,5.0,5.0,1.0,1.0,,1.0,1.0
Death by Chocolate Sundaes,212.67,198.0,25.4,198.0,242.0,4.67,4.7,0.06,4.6,4.7,598.67,493.0,347.76,316.0,987.0
Deep Fry,131.25,137.5,29.55,90.0,160.0,4.62,4.65,0.17,4.4,4.8,12.75,11.5,5.12,8.0,20.0
Delhi special Makhan Kulcha Meal,547.33,566.0,42.22,499.0,577.0,4.63,4.7,0.31,4.3,4.9,10.0,13.0,5.2,4.0,13.0
Delicious Rolls [With Gravy],227.0,229.0,8.37,219.0,239.0,4.48,4.6,0.36,3.9,4.8,45.2,45.0,40.26,4.0,97.0
Delicious Side,180.7,197.5,50.01,68.0,224.0,4.2,4.3,0.77,2.7,5.0,57.0,17.0,120.95,2.0,398.0
Deluxe Thali (New),304.56,299.0,13.33,299.0,339.0,3.94,3.8,0.73,3.0,5.0,1.67,1.0,1.12,1.0,4.0
Desert,182.0,199.0,29.44,148.0,199.0,4.17,4.3,0.32,3.8,4.4,72.33,37.0,81.93,14.0,166.0
Deserts,125.92,109.5,45.44,80.0,210.0,3.95,4.15,0.89,2.0,5.0,112.83,19.0,219.19,3.0,776.0
Deserts & Pastries,142.16,159.0,27.08,102.0,160.95,3.95,4.0,0.54,3.0,4.7,13.17,8.5,11.27,4.0,35.0
Desi Chais-New Launch!,156.0,125.0,62.0,125.0,249.0,3.9,3.8,0.76,3.1,4.9,1.25,1.0,0.5,1.0,2.0
Desi Flavour Of India,305.47,295.0,20.76,290.0,350.0,4.07,4.2,0.56,2.3,4.8,94.84,15.0,195.27,1.0,688.0
Desi Ghee,111.43,115.0,15.89,60.0,125.0,4.62,4.7,0.32,3.8,5.0,32.2,20.0,24.29,8.0,85.0
Desi Ghee Namkeen & Snacks,263.5,200.0,137.03,150.0,520.0,4.57,4.7,0.28,4.0,4.8,166.4,57.5,237.0,8.0,790.0
Desi Ghee Sweets,193.46,145.0,87.9,95.0,320.0,4.43,4.6,0.45,3.0,4.9,106.71,53.0,161.86,1.0,779.0
Desi Ghee Sweets 1kg,635.64,610.0,138.36,480.0,1140.0,4.49,4.6,0.5,2.0,5.0,19.82,5.0,39.19,1.0,252.0
